participant_id,musical_background,group,years_experience,dissonance_Cmaj6,distraction_Cmaj6,dissonance_Cmaj7_b9,distraction_Cmaj7_b9,dissonance_min2nd_cluster,distraction_min2nd_cluster,dissonance_Cmaj,distraction_Cmaj,dissonance_stacked_tritones,distraction_stacked_tritones,dissonance_C7_sharp_9,distraction_C7_sharp_9,mental_reaction,internal_response,effective_alarm_rating,qualitative_experience
U01,"Yes, specifically in Jazz theory/performance.",musician,4,2,1,3,2,5,4,1,1,3,2,2,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",5,단순코드는 별 생각 없는데 복잡한 코드는 코드 성질 분석을 했습니다
U01-1,"Yes, specifically in Jazz theory/performance.",musician,4,2,1,3,2,5,4,1,1,3,2,2,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",5,단순코드는 별 생각 없는데 복잡한 코드는 코드 성질 분석을 했습니다
U06,"Yes, specifically in Jazz theory/performance.",musician,5,5,3,6,4,6,4,2,2,5,4,6,4,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,5,No idea
U06-1,"Yes, specifically in Jazz theory/performance.",musician,5,5,3,6,4,6,4,2,2,5,4,6,4,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,5,No idea
U07,No formal musical training (Non-musician).,non_musician,0,2,3,3,3,5,4,1,2,5,4,3,2,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,음알못이라 크게 느껴지진 않았다. 
U07-1,No formal musical training (Non-musician).,non_musician,0,2,3,3,3,5,4,1,2,5,4,3,2,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,음알못이라 크게 느껴지진 않았다. 
U08,"Yes, specifically in Jazz theory/performance.",musician,5,1,1,4,4,6,3,3,2,3,3,3,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",4,"단순한 코드는 그냥 듣고 넘김, 복잡한 코드는 어떤 음으로 구성되어 있고 그 중 어떤 음이 거슬리는지를 파악하려고 함"
U08-1,"Yes, specifically in Jazz theory/performance.",musician,5,1,1,4,4,6,3,3,2,3,3,3,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",4,"단순한 코드는 그냥 듣고 넘김, 복잡한 코드는 어떤 음으로 구성되어 있고 그 중 어떤 음이 거슬리는지를 파악하려고 함"
U09,No formal musical training (Non-musician).,non_musician,0,1,1,5,4,6,4,2,3,3,3,5,3,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,"부드러운 코드는 자연스럽게 흘러가는 느낌, 긴장감 있는 코드는 내 본능이 이 음에 집중하라고 신호를 주는느낌이었다. "
U09-1,No formal musical training (Non-musician).,non_musician,0,1,1,5,4,6,4,2,3,3,3,5,3,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,"부드러운 코드는 자연스럽게 흘러가는 느낌, 긴장감 있는 코드는 내 본능이 이 음에 집중하라고 신호를 주는느낌이었다. "
